filename;mzmine_sample_type;run_date;correct_name;Date_exp;Plant_species;Exposure_time;Treatment;Wet_weight;Quantity_for_extraction;;;Survival
20260204_Elena_sample_MH1.1.mzML;sample;2026-02-04T11:11:15;\2026\Rasmann\Elena\20260204_Elena_sample_MV7.2;29.08.2025;M. verticillatum;72h;Induced;311.9;10;;4;
20260204_Elena_sample_MH1.2.mzML;sample;2026-02-04T11:21:51;\2026\Rasmann\Elena\20260204_Elena_sample_MV7.1;29.08.2025;M. verticillatum;72h;Induced;241.1;12;;6;
20260204_Elena_sample_MH2.2.mzML;sample;2026-02-04T11:43;\2026\Rasmann\Elena\20260204_Elena_sample_MH6.1;29.08.2025;M. verticillatum;72h;Control;203.6;11;;1;
20260204_Elena_sample_MH2.1.mzML;sample;2026-02-04T11:32:25;\2026\Rasmann\Elena\20260204_Elena_sample_MV6.2;29.08.2025;M. verticillatum;72h;Control;201.7;9;;5;
20260204_Elena_sample_MH3.1.mzML;sample;2026-02-04T11:53:34;\2026\Rasmann\Elena\20260204_Elena_sample_MV5.2;29.08.2025;M. verticillatum;72h;Control;202.6;11;;1;
20260204_Elena_sample_MH4.1.mzML;sample;2026-02-04T12:14:44;\2026\Rasmann\Elena\20260204_Elena_sample_MV4.2;29.08.2025;M. verticillatum;72h;Control;217.9;10;;5;
20260204_Elena_sample_MH3.2.mzML;sample;2026-02-04T12:04:10;\2026\Rasmann\Elena\20260204_Elena_sample_MV5.1;29.08.2025;M. verticillatum;72h;Control;202;10;;2;
20260204_Elena_sample_MH4.2.mzML;sample;2026-02-04T12:27:26;\2026\Rasmann\Elena\20260204_Elena_sample_MV4.1;29.08.2025;M. verticillatum;72h;Control;216;12;;0;
20260204_Elena_sample_MH5.1.mzML;sample;2026-02-04T12:38:01;\2026\Rasmann\Elena\20260204_Elena_sample_MV3.2;29.08.2025;M. verticillatum;72h;Control;212.5;13;;;
20260204_Elena_sample_MH5.2.mzML;sample;2026-02-04T12:48:38;\2026\Rasmann\Elena\20260204_Elena_sample_MV3.1;29.08.2025;M. verticillatum;72h;Control;210.1;13;;7;
20260204_Elena_sample_MH6.1.mzML;sample;2026-02-04T12:59:14;\2026\Rasmann\Elena\20260204_Elena_sample_MV2.2;29.08.2025;M. verticillatum;72h;Control;211.4;13;;5;
20260204_Elena_sample_MH6.2.mzML;sample;2026-02-04T13:09:47;\2026\Rasmann\Elena\20260204_Elena_sample_MV2.1;29.08.2025;M. verticillatum;72h;Control;207.4;10;;4;
20260204_Elena_sample_MH7.1.mzML;sample;2026-02-04T13:20:21;\2026\Rasmann\Elena\20260204_Elena_sample_MV1.2;29.08.2025;M. verticillatum;72h;Control;207.8;7;;9;
20260204_Elena_sample_MH8.1.mzML;sample;2026-02-04T13:41:33;\2026\Rasmann\Elena\20260204_Elena_sample_MH12.2;29.08.2025;M. heterophyllum;72h;Induced;106;13;;6;
20260204_Elena_sample_MH7.2.mzML;sample;2026-02-04T13:30:57;\2026\Rasmann\Elena\20260204_Elena_sample_MV1.1;29.08.2025;M. verticillatum;72h;Control;202.8;7;;9;
20260204_Elena_sample_MH8.2.mzML;sample;2026-02-04T13:52:10;\2026\Rasmann\Elena\20260204_Elena_sample_MH12.1;29.08.2025;M. heterophyllum;72h;Induced;104.4;10;;5;
20260204_Elena_sample_MH9.1.mzML;sample;2026-02-04T14:13:21;\2026\Rasmann\Elena\20260204_Elena_sample_MH11.2;29.08.2025;M. heterophyllum;72h;Induced;108.5;10;;8;
20260204_Elena_sample_MH9.2.mzML;sample;2026-02-04T14:23:55;\2026\Rasmann\Elena\20260204_Elena_sample_MH11.1;29.08.2025;M. heterophyllum;72h;Induced;105.7;10;;5;
20260204_Elena_sample_MH10.1.mzML;sample;2026-02-04T14:36:37;\2026\Rasmann\Elena\20260204_Elena_sample_MH10.2;29.08.2025;M. heterophyllum;72h;Induced;109.4;9;;9;
20260204_Elena_sample_MH10.2.mzML;sample;2026-02-04T14:47:10;\2026\Rasmann\Elena\20260204_Elena_sample_MH10.1;29.08.2025;M. heterophyllum;72h;Induced;103.6;9;;4;
20260204_Elena_sample_MH11.1.mzML;sample;2026-02-04T14:57:45;\2026\Rasmann\Elena\20260204_Elena_sample_MH9.2;29.08.2025;M. heterophyllum;72h;Induced;63.5;12;;2;
20260204_Elena_sample_MH11.2.mzML;sample;2026-02-04T15:08:21;\2026\Rasmann\Elena\20260204_Elena_sample_MH9.1;29.08.2025;M. heterophyllum;72h;Induced;103.4;13;;2;
20260204_Elena_sample_MH12.1.mzML;sample;2026-02-04T15:18:56;\2026\Rasmann\Elena\20260204_Elena_sample_MH8.2;29.08.2025;M. heterophyllum;72h;Induced;104.7;15;;7;
20260204_Elena_sample_MH12.2.mzML;sample;2026-02-04T15:29:31;\2026\Rasmann\Elena\20260204_Elena_sample_MH8.1;29.08.2025;M. heterophyllum;72h;Induced;106.2;14;;5;
20260204_Elena_sample_MV1.1.mzML;sample;2026-02-04T15:40:06;\2026\Rasmann\Elena\20260204_Elena_sample_MH7.2;29.08.2025;M. heterophyllum;72h;Induced;103.8;11;;1;
20260204_Elena_sample_MV1.2.mzML;sample;2026-02-04T15:50:41;\2026\Rasmann\Elena\20260204_Elena_sample_MH7.1;29.08.2025;M. heterophyllum;72h;Induced;105.1;11;;6;
20260204_Elena_sample_MV2.1.mzML;sample;2026-02-04T16:01:16;\2026\Rasmann\Elena\20260204_Elena_sample_MH6.2;29.08.2025;M. heterophyllum;72h;Control;106.8;8;;8;
20260204_Elena_sample_MV2.2.mzML;sample;2026-02-04T16:11:51;\2026\Rasmann\Elena\20260204_Elena_sample_MH6.1;29.08.2025;M. heterophyllum;72h;Control;106.2;9;;9;
20260204_Elena_sample_MV3.1.mzML;sample;2026-02-04T16:22:27;\2026\Rasmann\Elena\20260204_Elena_sample_MH5.2;29.08.2025;M. heterophyllum;72h;Control;95.1;11;;4;
20260204_Elena_sample_MV3.2.mzML;sample;2026-02-04T16:33:02;\2026\Rasmann\Elena\20260204_Elena_sample_MH5.1;29.08.2025;M. heterophyllum;72h;Control;109.9;9;;6;
20260204_Elena_sample_MV4.1.mzML;sample;2026-02-04T16:45:44;\2026\Rasmann\Elena\20260204_Elena_sample_MH4.2;29.08.2025;M. heterophyllum;72h;Control;105.8;11;;1;
20260204_Elena_sample_MV4.2.mzML;sample;2026-02-04T16:56:18;\2026\Rasmann\Elena\20260204_Elena_sample_MH4.1;29.08.2025;M. heterophyllum;72h;Control;107.5;3;;2;
20260204_Elena_sample_MV5.2.mzML;sample;2026-02-04T17:17:29;\2026\Rasmann\Elena\20260204_Elena_sample_MH3.1;29.08.2025;M. heterophyllum;72h;Control;100.4;11;;6;
20260204_Elena_sample_MV5.1.mzML;sample;2026-02-04T17:06:54;\2026\Rasmann\Elena\20260204_Elena_sample_MH3.2;29.08.2025;M. heterophyllum;72h;Control;107.5;3;;2;
20260204_Elena_sample_MV6.1.mzML;sample;2026-02-04T17:28:03;\2026\Rasmann\Elena\20260204_Elena_sample_MH2.2;29.08.2025;M. heterophyllum;72h;Control;51;13;;8;
20260204_Elena_sample_MV6.2.mzML;sample;2026-02-04T17:49:13;\2026\Rasmann\Elena\20260204_Elena_sample_MH2.1;29.08.2025;M. heterophyllum;72h;Control;106.6;10;;1;
20260204_Elena_sample_MV7.1.mzML;sample;2026-02-04T17:59:48;\2026\Rasmann\Elena\20260204_Elena_sample_MH1.2;29.08.2025;M. heterophyllum;72h;Control;136.4;14;;6;
20260204_Elena_sample_MV7.2.mzML;sample;2026-02-04T18:10:23;\2026\Rasmann\Elena\20260204_Elena_sample_MH1.1;29.08.2025;M. heterophyllum;72h;Control;103.2;9;;4;
20260204_Elena_sample_MV8.2.mzML;sample;2026-02-04T18:20:58;\2026\Rasmann\Elena\20260204_Elena_sample_LG12.2;07.11.2025;L. grandiflora;120h;Induced;369;10;;8;0
20260204_Elena_sample_MV9.1.mzML;sample;2026-02-04T18:31:33;\2026\Rasmann\Elena\20260204_Elena_sample_LG12.1;07.11.2025;L. grandiflora;120h;Induced;222.2;10;;;0
20260204_Elena_sample_MV9.2.mzML;sample;2026-02-04T18:42:09;\2026\Rasmann\Elena\20260204_Elena_sample_LG11.2;07.11.2025;L. grandiflora;120h;Induced;301.4;13;;3;0
20260204_Elena_sample_MV10.1.mzML;sample;2026-02-04T18:54:51;\2026\Rasmann\Elena\20260204_Elena_sample_LG11.1;07.11.2025;L. grandiflora;120h;Induced;276.7;11;;3;1
20260204_Elena_sample_MV10.2.mzML;sample;2026-02-04T19:05:24;\2026\Rasmann\Elena\20260204_Elena_QC_1;;;;;;;;;
20260204_Elena_sample_MV11.1.mzML;sample;2026-02-04T19:16:01;\2026\Rasmann\Elena\20260202_Elena_sample_MV11.1;29.08.2025;M. verticillatum;72h;Induced;463.9;12;;4;
20260204_Elena_sample_MV11.2.mzML;sample;2026-02-04T19:26:34;\2026\Rasmann\Elena\20260202_Elena_sample_MV11.2;29.08.2025;M. verticillatum;72h;Induced;422.1;12;;2;
20260204_Elena_sample_MV12.2.mzML;sample;2026-02-04T19:47:42;\2026\Rasmann\Elena\20260202_Elena_sample_MV12.2;29.08.2025;M. verticillatum;72h;Induced;418.1;13;;1;
20260204_Elena_sample_MV12.1.mzML;sample;2026-02-04T19:37:07;\2026\Rasmann\Elena\20260202_Elena_sample_MV12.1;29.08.2025;M. verticillatum;72h;Induced;168;;;;
20260303_Elena_blank.mzML;blank;2026-02-04T03:23:38;;;;;;;;;;
20260303_Elena_QC_1_D2.mzML;qc;2026-02-03T09:49:54;;;;;;;;;;
20260303_Elena_QC_2_D2.mzML;qc;2026-02-03T13:34:17;;;;;;;;;;
20260303_Elena_QC_3_D3.mzML;qc;2026-02-03T17:10:18;;;;;;;;;;
20260303_Elena_QC_4_D5.mzML;qc;2026-02-03T20:56:38;;;;;;;;;;
20260303_Elena_QC_5_D6.mzML;qc;2026-02-04T00:40:45;;;;;;;;;;
20260303_Elena_sample_50.mzML;sample;2026-02-03T18:58:14;20260202_Elena_sample_MHi7.1.mzML;03.10.2025;M. hippuroides;120h;Induced;41.1;7;;8;0
20260303_Elena_sample_49.mzML;sample;2026-02-03T18:47:39;20260202_Elena_sample_MHi6.2.mzML;03.10.2025;M. hippuroides;120h;Control;106.1;11;;2;0
20260303_Elena_sample_51.mzML;sample;2026-02-03T19:08:48;20260202_Elena_sample_MHi7.2.mzML;03.10.2025;M. hippuroides;120h;Induced;72.9;11;;1;0
20260303_Elena_sample_52.mzML;sample;2026-02-03T19:19:23;20260202_Elena_sample_MHi8.1.mzML;03.10.2025;M. hippuroides;120h;Induced;65.4;9;;;0
20260303_Elena_sample_53.mzML;sample;2026-02-03T19:29:56;20260202_Elena_sample_MHi8.2.mzML;03.10.2025;M. hippuroides;120h;Induced;45.2;4;;4;0
20260303_Elena_sample_54.mzML;sample;2026-02-03T19:40:31;20260202_Elena_sample_MHi9.1.mzML;03.10.2025;M. hippuroides;120h;Induced;59.5;5;;3;0
20260303_Elena_sample_55.mzML;sample;2026-02-03T19:51:04;20260202_Elena_sample_MHi9.2.mzML;03.10.2025;M. hippuroides;120h;Induced;48.4;3;;;0
20260303_Elena_sample_56.mzML;sample;2026-02-03T20:01:39;20260202_Elena_sample_MHi10.1.mzML;03.10.2025;M. hippuroides;120h;Induced;43.1;5;;5;0
20260303_Elena_sample_59.mzML;sample;2026-02-03T20:35:30;20260202_Elena_sample_MHi11.2.mzML;03.10.2025;M. hippuroides;120h;Induced;40.3;4;;4;0
20260303_Elena_sample_57.mzML;sample;2026-02-03T20:12:15;20260202_Elena_sample_MHi10.2.mzML;03.10.2025;M. hippuroides;120h;Induced;106;;;;0
20260303_Elena_sample_58.mzML;sample;2026-02-03T20:22:49;20260202_Elena_sample_MIh11.1.mzML;03.10.2025;M. hippuroides;120h;Induced;62.3;9;;1;0
20260303_Elena_sample_60.mzML;sample;2026-02-03T20:46:04;20260202_Elena_sample_MHi12.1.mzML;03.10.2025;M. hippuroides;120h;Induced;40;7;;;0
20260303_Elena_sample_62.mzML;sample;2026-02-03T21:17:47;20260202_Elena_sample_PF1.1b.mzML;07.11.2025;M. aquaticum;120h;Control;131.8;12;;5;1
20260303_Elena_sample_61.mzML;sample;2026-02-03T21:07:12;20260202_Elena_sample_MHi12.2.mzML;03.10.2025;M. hippuroides;120h;Induced;52.3;5;;3;0
20260303_Elena_sample_63.mzML;sample;2026-02-03T21:28:20;20260202_Elena_sample_PF1.2b.mzML;07.11.2025;M. aquaticum;120h;Control;126.5;10;;4;1
20260303_Elena_sample_66.mzML;sample;2026-02-03T22:00:01;20260202_Elena_sample_PF3.1b.mzML;07.11.2025;M. aquaticum;120h;Control;135.2;11;;6;0
20260303_Elena_sample_64.mzML;sample;2026-02-03T21:38:53;20260202_Elena_sample_PF2.1b.mzML;07.11.2025;M. aquaticum;120h;Control;130.1;12;;;0
20260303_Elena_sample_68.mzML;sample;2026-02-03T22:21:13;20260202_Elena_sample_PF4.1b.mzML;07.11.2025;M. aquaticum;120h;Control;130.1;10;;5;1
20260303_Elena_sample_67.mzML;sample;2026-02-03T22:10:37;20260202_Elena_sample_PF3.2b.mzML;07.11.2025;M. aquaticum;120h;Control;143.7;13;;1;1
20260303_Elena_sample_65.mzML;sample;2026-02-03T21:49:28;20260202_Elena_sample_PF2.2b.mzML;07.11.2025;M. aquaticum;120h;Control;128.8;13;;7;1
20260303_Elena_sample_70.mzML;sample;2026-02-03T22:44:28;20260202_Elena_sample_PF5.1b.mzML;07.11.2025;M. aquaticum;120h;Control;124.7;13;;4;1
20260303_Elena_sample_69.mzML;sample;2026-02-03T22:31:47;20260202_Elena_sample_PF4.2b.mzML;07.11.2025;M. aquaticum;120h;Control;151.2;11;;;1
20260303_Elena_sample_71.mzML;sample;2026-02-03T22:55:02;20260202_Elena_sample_PF5.2b.mzML;07.11.2025;M. aquaticum;120h;Control;124.4;14;;;0
20260303_Elena_sample_74.mzML;sample;2026-02-03T23:26:44;20260202_Elena_sample_PF7.1b.mzML;07.11.2025;M. aquaticum;120h;Induced;129.5;10;;6;1
20260303_Elena_sample_77.mzML;sample;2026-02-03T23:58:25;20260202_Elena_sample_PF8.2b.mzML;07.11.2025;M. aquaticum;120h;Induced;138.8;12;;4;0
20260303_Elena_sample_75.mzML;sample;2026-02-03T23:37:17;20260202_Elena_sample_PF7.2b.mzML;07.11.2025;M. aquaticum;120h;Induced;124.6;10;;6;1
20260303_Elena_sample_78.mzML;sample;2026-02-04T00:09;20260202_Elena_sample_PF9.1b.mzML;07.11.2025;M. aquaticum;120h;Induced;124.3;13;;4;1
20260303_Elena_sample_73.mzML;sample;2026-02-03T23:16:11;20260202_Elena_sample_PF6.2b.mzML;07.11.2025;M. aquaticum;120h;Control;124.3;10;;7;1
20260303_Elena_sample_72.mzML;sample;2026-02-03T23:05:36;20260202_Elena_sample_PF6.1b.mzML;07.11.2025;M. aquaticum;120h;Control;120.5;8;;5;1
20260303_Elena_sample_76.mzML;sample;2026-02-03T23:47:52;20260202_Elena_sample_PF8.1b.mzML;07.11.2025;M. aquaticum;120h;Induced;128;;;;0
20260303_Elena_sample_79.mzML;sample;2026-02-04T00:19:36;20260202_Elena_sample_PF9.2b.mzML;07.11.2025;M. aquaticum;120h;Induced;131.2;10;;6;1
20260303_Elena_sample_80.mzML;sample;2026-02-04T00:30:11;20260202_Elena_sample_PF10.1b.mzML;07.11.2025;M. aquaticum;120h;Induced;126.7;8;;3;1
20260303_Elena_sample_81.mzML;sample;2026-02-04T00:53:29;20260202_Elena_sample_PF10.2b.mzML;07.11.2025;M. aquaticum;120h;Induced;133.6;10;;3;1
20260303_Elena_sample_83.mzML;sample;2026-02-04T01:14:37;20260202_Elena_sample_PF11.2b.mzML;07.11.2025;M. aquaticum;120h;Induced;132.7;10;;;1
20260303_Elena_sample_82.mzML;sample;2026-02-04T01:04:02;20260202_Elena_sample_PF11.1b.mzML;07.11.2025;M. aquaticum;120h;Induced;125.4;11;;8;1
20260303_Elena_sample_84.mzML;sample;2026-02-04T01:25:10;20260202_Elena_sample_PF12.1b.mzML;07.11.2025;M. aquaticum;120h;Induced;122.7;13;;6;0
20260303_Elena_sample_86.mzML;sample;2026-02-04T01:46:20;20260202_Elena_sample_LR1.1.mzML;07.11.2025;L. repens;120h;Control;180.7;11;;9;1
20260303_Elena_sample_85.mzML;sample;2026-02-04T01:35:45;20260202_Elena_sample_PF12.2b.mzML;07.11.2025;M. aquaticum;120h;Induced;157.9;13;;1;1
20260303_Elena_sample_87.mzML;sample;2026-02-04T01:56:55;20260202_Elena_sample_LR1.2.mzML;07.11.2025;L. repens;120h;Control;181.3;12;;;1
20260303_Elena_sample_88.mzML;sample;2026-02-04T02:07:32;20260202_Elena_sample_LR2.1.mzML;07.11.2025;L. repens;120h;Control;186.8;11;;2;0
20260303_Elena_sample_89.mzML;sample;2026-02-04T02:18:05;20260202_Elena_sample_LR2.2.mzML;07.11.2025;L. repens;120h;Control;134.3;13;;;0
20260303_Elena_sample_90.mzML;sample;2026-02-04T02:28:39;20260202_Elena_sample_LR3.1.mzML;07.11.2025;L. repens;120h;Control;154.5;10;;;0
20260303_Elena_sample_91.mzML;sample;2026-02-04T02:39:14;20260202_Elena_sample_LR3.2.mzML;07.11.2025;L. repens;120h;Control;185.7;11;;;0
20260303_Elena_sample_92.mzML;sample;2026-02-04T02:49:48;20260202_Elena_sample_LR4.1.mzML;07.11.2025;L. repens;120h;Control;183.9;11;;5;0
20260303_Elena_sample_94.mzML;sample;2026-02-04T03:13:04;20260202_Elena_sample_LR5.1.mzML;07.11.2025;L. repens;120h;Control;180.1;13;;2;0
20260303_Elena_sample_93.mzML;sample;2026-02-04T03:02:29;20260202_Elena_sample_LR4.2.mzML;07.11.2025;L. repens;120h;Control;195.6;10;;6;0
20260303_Elena_sample_MHi1.1.mzML;sample;2026-02-03T16:38:29;20260202_Elena_sample_MHi1.1.mzML;03.10.2025;M. hippuroides;120h;Control;121.7;12;;9;1
20260303_Elena_sample_MHi1.2.mzML;sample;2026-02-03T16:49:05;20260202_Elena_sample_MHi1.2.mzML;03.10.2025;M. hippuroides;120h;Control;76;4;;;0
20260303_Elena_sample_MHi2.2.mzML;sample;2026-02-03T17:20:53;20260202_Elena_sample_MHi2.2.mzML;03.10.2025;M. hippuroides;120h;Control;116.1;13;;3;0
20260303_Elena_sample_MHi2.1.mzML;sample;2026-02-03T16:59:41;20260202_Elena_sample_MHi2.1.mzML;03.10.2025;M. hippuroides;120h;Control;120.8;12;;1;0
20260303_Elena_sample_MHi3.1.mzML;sample;2026-02-03T17:31:28;20260202_Elena_sample_MHi3.1.mzML;03.10.2025;M. hippuroides;120h;Control;52.1;8;;3;0
20260303_Elena_sample_MHi3.2.mzML;sample;2026-02-03T17:42:03;20260202_Elena_sample_MHi3.2.mzML;03.10.2025;M. hippuroides;120h;Control;68.1;6;;6;0
20260303_Elena_sample_MHi4.1.mzML;sample;2026-02-03T17:52:38;20260202_Elena_sample_MHi4.1.mzML;03.10.2025;M. hippuroides;120h;Control;120.2;12;;3;1
20260303_Elena_sample_MHi4.2.mzML;sample;2026-02-03T18:03:13;20260202_Elena_sample_MHi4.2.mzML;03.10.2025;M. hippuroides;120h;Control;54.3;7;;;1
20260303_Elena_sample_MHi5.1.mzML;sample;2026-02-03T18:13:48;20260202_Elena_sample_MHi5.1.mzML;03.10.2025;M. hippuroides;120h;Control;95.7;9;;2;1
20260303_Elena_sample_MHi5.2.mzML;sample;2026-02-03T18:26:29;20260202_Elena_sample_MHi5.2.mzML;03.10.2025;M. hippuroides;120h;Control;130.7;12;;3;0
20260303_Elena_sample_PF7.1a.mzML;sample;2026-02-03T10:00:29;20260303_Elena_sample_PF7.1a.mzML;03.10.2025;M. aquaticum;120h;Induced;140.7;10;;7;1
20260303_Elena_sample_MHi6.1.mzML;sample;2026-02-03T18:37:03;20260202_Elena_sample_MHi6.1.mzML;03.10.2025;M. hippuroides;120h;Control;84.2;11;;2;0
20260303_Elena_sample_PF7.2a.mzML;sample;2026-02-03T10:11:04;20260303_Elena_sample_PF7.2a.mzML;03.10.2025;M. aquaticum;120h;Induced;133.6;12;;6;0
20260303_Elena_sample_PF8.1a.mzML;sample;2026-02-03T10:21:38;20260303_Elena_sample_PF8.1a.mzML;03.10.2025;M. aquaticum;120h;Induced;126.1;11;;6;0
20260303_Elena_sample_PF8.2a.mzML;sample;2026-02-03T10:32:12;20260303_Elena_sample_PF8.2a.mzML;03.10.2025;M. aquaticum;120h;Induced;131.4;12;;5;1
20260303_Elena_sample_PF9.1a.mzML;sample;2026-02-03T10:42:49;20260303_Elena_sample_PF9.1a.mzML;03.10.2025;M. aquaticum;120h;Induced;133.4;11;;;0
20260303_Elena_sample_PF9.2a.mzML;sample;2026-02-03T10:53:25;20260303_Elena_sample_PF9.2a.mzML;03.10.2025;M. aquaticum;120h;Induced;143.6;12;;5;0
20260303_Elena_sample_PF10.2a.mzML;sample;2026-02-03T11:14:31;20260303_Elena_sample_PF10.2a.mzML;03.10.2025;M. aquaticum;120h;Induced;128.4;11;;3;0
20260303_Elena_sample_PF10.1a.mzML;sample;2026-02-03T11:03:59;20260303_Elena_sample_PF10.1a.mzML;03.10.2025;M. aquaticum;120h;Induced;125.6;12;;9;1
20260303_Elena_sample_PF11.1a.mzML;sample;2026-02-03T11:25:06;20260303_Elena_sample_PF11.1a.mzML;03.10.2025;M. aquaticum;120h;Induced;133.3;12;;4;0
20260303_Elena_sample_PF11.2a.mzML;sample;2026-02-03T11:35:42;20260303_Elena_sample_PF11.2a.mzML;03.10.2025;M. aquaticum;120h;Induced;127.7;12;;6;0
20260303_Elena_sample_PF12.1a.mzML;sample;2026-02-03T11:46:18;20260303_Elena_sample_PF12.1a.mzML;03.10.2025;M. aquaticum;120h;Induced;128;4;;;1
20260303_Elena_sample_PF12.2a.mzML;sample;2026-02-03T11:59:03;20260303_Elena_sample_PF12.2a.mzML;03.10.2025;M. aquaticum;120h;Induced;144.4;11;;;0
20260303_Elena_sample_PP1.1.mzML;sample;2026-02-03T12:09:37;20260202_Elena_sample_PP1.1.mzML;03.10.2025;P. palustris;120h;Control;134.7;10;;5;0
20260303_Elena_sample_PP1.2.mzML;sample;2026-02-03T12:20:12;20260202_Elena_sample_PP1.2.mzML;03.10.2025;P. palustris;120h;Control;132.9;15;;3;0
20260303_Elena_sample_PP2.1.mzML;sample;2026-02-03T12:30:47;20260202_Elena_sample_PP2.1.mzML;03.10.2025;P. palustris;120h;Control;126.1;10;;7;0
20260303_Elena_sample_PP2.2.mzML;sample;2026-02-03T12:41:22;20260202_Elena_sample_PP2.2.mzML;03.10.2025;P. palustris;120h;Control;147.8;10;;;0
20260303_Elena_sample_PP3.1.mzML;sample;2026-02-03T12:51:57;20260202_Elena_sample_PP3.1.mzML;03.10.2025;P. palustris;120h;Control;129.7;12;;6;0
20260303_Elena_sample_PP3.2.mzML;sample;2026-02-03T13:02:32;20260202_Elena_sample_PP3.2.mzML;03.10.2025;P. palustris;120h;Control;125;1;;;0
20260303_Elena_sample_PP4.1.mzML;sample;2026-02-03T13:13:08;20260202_Elena_sample_PP4.1.mzML;03.10.2025;P. palustris;120h;Control;121;7;;;0
20260303_Elena_sample_PP4.2.mzML;sample;2026-02-03T13:23:43;20260202_Elena_sample_PP4.2.mzML;03.10.2025;P. palustris;120h;Control;129.7;10;;5;0
20260303_Elena_sample_PP5.1.mzML;sample;2026-02-03T13:44:51;20260202_Elena_sample_PP5.1.mzML;03.10.2025;P. palustris;120h;Control;124.8;15;;7;0
20260303_Elena_sample_PP5.2.mzML;sample;2026-02-03T13:55:25;20260202_Elena_sample_PP5.2.mzML;03.10.2025;P. palustris;120h;Control;131.3;12;;7;0
20260303_Elena_sample_PP6.1.mzML;sample;2026-02-03T14:08:07;20260202_Elena_sample_PP6.1.mzML;03.10.2025;P. palustris;120h;Control;137.7;11;;8;0
20260303_Elena_sample_PP7.1.mzML;sample;2026-02-03T14:29:16;20260202_Elena_sample_PP7.1.mzML;03.10.2025;P. palustris;120h;Induced;127.1;12;;8;0
20260303_Elena_sample_PP6.2.mzML;sample;2026-02-03T14:18:41;20260202_Elena_sample_PP6.2.mzML;03.10.2025;P. palustris;120h;Control;129.4;10;;8;0
20260303_Elena_sample_PP7.2.mzML;sample;2026-02-03T14:39:51;20260202_Elena_sample_PP7.2.mzML;03.10.2025;P. palustris;120h;Induced;144.8;13;;1;0
20260303_Elena_sample_PP8.1.mzML;sample;2026-02-03T14:50:27;20260202_Elena_sample_PP8.1.mzML;03.10.2025;P. palustris;120h;Induced;132.4;14;;3;0
20260303_Elena_sample_PP8.2.mzML;sample;2026-02-03T15:01:03;20260202_Elena_sample_PP8.2.mzML;03.10.2025;P. palustris;120h;Induced;133.7;16;;3;0
20260303_Elena_sample_PP9.1.mzML;sample;2026-02-03T15:11:39;20260202_Elena_sample_PP9.1.mzML;03.10.2025;P. palustris;120h;Induced;157.3;13;;9;0
20260303_Elena_sample_PP10.1.mzML;sample;2026-02-03T15:32:51;20260202_Elena_sample_PP10.1.mzML;03.10.2025;P. palustris;120h;Induced;134.4;10;;2;0
20260303_Elena_sample_PP9.2.mzML;sample;2026-02-03T15:22:16;20260202_Elena_sample_PP9.2.mzML;03.10.2025;P. palustris;120h;Induced;119;7;;;0
20260303_Elena_sample_PP10.2.mzML;sample;2026-02-03T15:43:26;20260202_Elena_sample_PP10.2.mzML;03.10.2025;P. palustris;120h;Induced;150.3;11;;3;0
20260303_Elena_sample_PP11.1.mzML;sample;2026-02-03T15:54:02;20260202_Elena_sample_PP11.1.mzML;03.10.2025;P. palustris;120h;Induced;135.6;11;;8;0
20260303_Elena_sample_PP11.2.mzML;sample;2026-02-03T16:04:37;20260202_Elena_sample_PP11.2.mzML;03.10.2025;P. palustris;120h;Induced;130;3;;;0
20260303_Elena_sample_PP12.1.mzML;sample;2026-02-03T16:17:18;20260202_Elena_sample_PP12.1.mzML;03.10.2025;P. palustris;120h;Induced;133.8;12;;;1
20260303_Elena_sample_PP12.2.mzML;sample;2026-02-03T16:27:52;20260202_Elena_sample_PP12.2.mzML;03.10.2025;P. palustris;120h;Induced;137.7;10;;6;0
